Company Name	Ticker	Exchange	GICS Sector	GICS Industry Group	GICS Industry	GICS Sub-Industry
Ambev SA	ABEV3	B3 S.A.	Consumer Staples	Food, Beverage and Tobacco	Beverages	Brewers
Atacadao SA	CRFB3	B3 S.A.	Consumer Staples	Food and Staples Retailing	Food and Staples Retailing	Hypermarkets and Super Centers
B3 SA - Brasil Bolsa Balcao	B3SA3	B3 S.A.	Financials	Diversified Financials	Capital Markets	Financial Exchanges & Data
Banco BTG Pactual S.A.	BPAC11	B3 S.A.	Financials	Diversified Financials	Capital Markets	Diversified Capital Markets
Banco do Brasil SA BB Brasil	BBAS3	B3 S.A.	Financials	Banks	Banks	Diversified Banks
Banco Santander (Brasil) SA	SANB11	B3 S.A.	Financials	Banks	Banks	Diversified Banks
Bank Bradesco SA	BBDC3	B3 S.A.	Financials	Banks	Banks	Diversified Banks
BB Seguridade Participacoes SA	BBSE3	B3 S.A.	Financials	Insurance	Insurance	Multi-line Insurance
BRF SA	BRFS3	B3 S.A.	Consumer Staples	Food, Beverage and Tobacco	Food Products	Packaged Foods and Meats
CCR SA	CCRO3	B3 S.A.	Industrials	Transportation	Transportation Infrastructure	Highways and Railtracks
Centrais Eletricas Brasileiras SA	ELET3	B3 S.A.	Utilities	Utilities	Electric Utilities	Electric Utilities
Cielo SA	CIEL3	B3 S.A.	Information Technology	Software and Services	IT Services	Data Processing and Outsourced Services
Companhia De Saneamento Basico Do Estado De Sao Paulo	SBSP3	B3 S.A.	Utilities	Utilities	Water Utilities	Water Utilities
Companhia Siderurgica Nacional	CSNA3	B3 S.A.	Materials	Materials	Metals and Mining	Steel
Cosan SA	CSAN3	B3 S.A.	Energy	Energy	Oil, Gas and Consumable Fuels	Oil and Gas Refining and Marketing
CPFL Energia S.A.	CPFE3	B3 S.A.	Utilities	Utilities	Electric Utilities	Electric Utilities
Embraer SA	EMBR3	B3 S.A.	Industrials	Capital Goods	Aerospace and Defense	Aerospace and Defense
ENGIE Brasil Energia SA	EGIE3	B3 S.A.	Utilities	Utilities	Independent Power and Renewable Electricity Producers	Renewable Electricity
Equatorial Energia SA	EQTL3	B3 S.A.	Utilities	Utilities	Electric Utilities	Electric Utilities
Hypera SA	HYPE3	B3 S.A.	Health Care	Pharmaceuticals and Biotechnology	Pharmaceuticals	Pharmaceuticals
IRB Brasil Resseguros SA	IRBR3	B3 S.A.	Financials	Insurance	Insurance	Reinsurance
JBS SA	JBSS3	B3 S.A.	Consumer Staples	Food, Beverage and Tobacco	Food Products	Packaged Foods and Meats
Klabin SA	KLBN11	B3 S.A.	Materials	Materials	Containers and Packaging	Paper Packaging
Localiza Rent A Car SA	RENT3	B3 S.A.	Industrials	Transportation	Road and Rail	Trucking
Lojas Renner SA	LREN3	B3 S.A.	Consumer Discretionary	Retailing	Multiline Retail	Department Stores
M Dias Branco SA Industria e Comercio de Alimentos	MDIA3	B3 S.A.	Consumer Staples	Food, Beverage and Tobacco	Food Products	Packaged Foods and Meats
Magazine Luiza SA	MGLU3	B3 S.A.	Consumer Discretionary	Retailing	Multiline Retail	General Merchandise Stores
Multiplan Empreendimentos Imobiliarios SA	MULT3	B3 S.A.	Real Estate	Real Estate	Real Estate Management & Development	Real Estate Operating Companies
Natura & Co Holding SA	NTCO3	B3 S.A.	Consumer Staples	Household and Personal Products	Personal Products	Personal Products
Petroleo Brasileiro SA Petrobras	PETR3	B3 S.A.	Energy	Energy	Oil, Gas and Consumable Fuels	Integrated Oil and Gas
Porto Seguro SA	PSSA3	B3 S.A.	Financials	Insurance	Insurance	Multi-line Insurance
Raia Drogasil SA	RADL3	B3 S.A.	Consumer Staples	Food and Staples Retailing	Food and Staples Retailing	Drug Retail
Rumo SA	RAIL3	B3 S.A.	Industrials	Transportation	Road and Rail	Railroads
Suzano SA	SUZB3	B3 S.A.	Materials	Materials	Paper and Forest Products	Paper Products
Ultrapar Participacoes SA	UGPA3	B3 S.A.	Energy	Energy	Oil, Gas and Consumable Fuels	Oil and Gas Storage and Transportation
Vale SA	VALE3	B3 S.A.	Materials	Materials	Metals and Mining	Steel
Weg SA	WEGE3	B3 S.A.	Industrials	Capital Goods	Electrical Equipment	Electrical Components and Equipment
Fomento Económico Mexicano, S.A.B. de C.V.	FEMSAUBD	BMV	Consumer Staples	Food, Beverage & Tobacco	Beverages	Soft Drinks
Grupo Aeroportuario del Pacifico SAB de CV Class B	GAPB	BMV	Industrials	Transportation	Transportation Infrastructure	Airport Services
Grupo Bimbo, S.A.B de C.V.	BIMBOA	BMV	Consumer Staples	Food, Beverage & Tobacco	Food Products	Packaged Foods & Meats
Delta Corp Ltd.	532848	BSE LTD	Consumer Discretionary	Hotels, Restaurants & Leisure	Hotels, Restaurants & Leisure	Casinos & Gaming
Power Finance Corporation	532810	BSE LTD	Financials	Diversified Financials	Diversified Financial Services	Specialized Finance
Asian Paints Ltd	500820	BSE LTD	Materials	Materials	Chemicals	Specialty Chemicals
Astra Microwave Products Ltd	532493	BSE LTD	Information Technology	Technology Hardware and Equipment	Communications Equipment	Communications Equipment
Atul Ltd	500027	BSE LTD	Materials	Materials	Chemicals	Diversified Chemicals
Aurobindo Pharma Ltd	524804	BSE LTD	Health Care	Pharmaceuticals and Biotechnology	Pharmaceuticals	Pharmaceuticals
Axis Bank Ltd	532215	BSE LTD	Financials	Banks	Banks	Diversified Banks
Bajaj Auto Ltd	532977	BSE LTD	Consumer Discretionary	Automobiles and Components	Automobiles	Motorcycle Manufacturers
Bajaj Finserv Ltd	532978	BSE LTD	Financials	Diversified Financials	Diversified Financial Services	Other Diversified Financial Services
Bata India Ltd	500043	BSE LTD	Consumer Discretionary	Consumer Durables and Apparel	Textiles, Apparel and Luxury Goods	Footwear
Berger Paints India Ltd	509480	BSE LTD	Materials	Materials	Chemicals	Commodity Chemicals
Bharat Heavy Electricals Ltd	500103	BSE LTD	Industrials	Capital Goods	Electrical Equipment	Heavy Electrical Equipment
Bharti Airtel Ltd	532454	BSE LTD	Communication Services	Telecommunication Services	Wireless Telecommunication Services	Wireless Telecommunication Services
Bosch Ltd	500530	BSE LTD	Consumer Discretionary	Automobiles and Components	Auto Components	Auto Parts and Equipment
Cipla Ltd	500087	BSE LTD	Health Care	Pharmaceuticals and Biotechnology	Pharmaceuticals	Pharmaceuticals
Coal India Ltd	533278	BSE LTD	Energy	Energy	Oil, Gas and Consumable Fuels	Coal and Consumable Fuels
Dr Reddy's Laboratories Ltd	500124	BSE LTD	Health Care	Pharmaceuticals and Biotechnology	Pharmaceuticals	Pharmaceuticals
eClerx Services Ltd	532927	BSE LTD	Information Technology	Software and Services	IT Services	Data Processing and Outsourced Services
GAIL (India) Ltd	532155	BSE LTD	Utilities	Utilities	Gas Utilities	Gas Utilities
Godrej Agrovet Ltd	540743	BSE LTD	Consumer Staples	Food, Beverage and Tobacco	Food Products	Agricultural Products
Godrej Consumer Products Ltd	532424	BSE LTD	Consumer Staples	Household and Personal Products	Personal Products	Personal Products
Granules India Ltd	532482	BSE LTD	Health Care	Pharmaceuticals and Biotechnology	Pharmaceuticals	Pharmaceuticals
Gujarat Industries Power Co Ltd	517300	BSE LTD	Utilities	Utilities	Independent Power and Renewable Electricity Producers	Independent Power Producers and Energy Traders
HCL Technologies Ltd	532281	BSE LTD	Information Technology	Software and Services	IT Services	IT Consulting and Other Services
HDFC Bank Ltd	500180	BSE LTD	Financials	Banks	Banks	Diversified Banks
Hero MotoCorp Ltd	500182	BSE LTD	Consumer Discretionary	Automobiles and Components	Automobiles	Motorcycle Manufacturers
Hindalco Industries Ltd	500440	BSE LTD	Materials	Materials	Metals and Mining	Aluminum
Hindustan Unilever Ltd	500696	BSE LTD	Consumer Staples	Household and Personal Products	Household Products	Household Products
ICICI Bank Ltd	532174	BSE LTD	Financials	Banks	Banks	Diversified Banks
Infosys Ltd	500209	BSE LTD	Information Technology	Software and Services	IT Services	IT Consulting and Other Services
ITC Ltd	500875	BSE LTD	Consumer Staples	Food, Beverage and Tobacco	Tobacco	Tobacco
Jubilant Foodworks Ltd	533155	BSE LTD	Consumer Discretionary	Consumer Services	Hotels, Restaurants and Leisure	Restaurants
Just Dial Ltd	535648	BSE LTD	Communication Services	Media & Entertainment	Interactive Media & Services	Interactive Media & Services
Kotak Mahindra Bank Ltd	500247	BSE LTD	Financials	Banks	Banks	Diversified Banks
Larsen & Toubro Ltd	500510	BSE LTD	Industrials	Capital Goods	Construction and Engineering	Construction and Engineering
LTIMindtree	540005	BSE LTD	Information Technology	Software and Services	IT Services	IT Consulting and Other Services
Mahindra & Mahindra Ltd	500520	BSE LTD	Consumer Discretionary	Automobiles and Components	Automobiles	Automobile Manufacturers
Maruti Suzuki India Ltd	532500	BSE LTD	Consumer Discretionary	Automobiles and Components	Automobiles	Automobile Manufacturers
Max Financial Services Ltd	500271	BSE LTD	Financials	Insurance	Insurance	Life and Health Insurance
Nestle India Ltd	500790	BSE LTD	Consumer Staples	Food, Beverage and Tobacco	Food Products	Packaged Foods and Meats
NIIT Ltd	500304	BSE LTD	Information Technology	Software and Services	IT Services	IT Consulting and Other Services
NTPC Ltd	532555	BSE LTD	Utilities	Utilities	Independent Power and Renewable Electricity Producers	Independent Power Producers and Energy Traders
Oil & Natural Gas Corp Ltd	500312	BSE LTD	Energy	Energy	Oil, Gas and Consumable Fuels	Integrated Oil and Gas
Piramal Enterprises Ltd	500302	BSE LTD	Financials	Diversified Financials	Diversified Financial Services	Specialized Finance
Power Grid Corp Of India Ltd	532898	BSE LTD	Utilities	Utilities	Electric Utilities	Electric Utilities
REC Ltd	532955	BSE LTD	Financials	Diversified Financials	Diversified Financial Services	Specialized Finance
Reliance Industries Ltd	500325	BSE LTD	Energy	Energy	Oil, Gas and Consumable Fuels	Oil and Gas Refining and Marketing
SJVN Ltd	533206	BSE LTD	Utilities	Utilities	Electric Utilities	Electric Utilities
State Bank of India	500112	BSE LTD	Financials	Banks	Banks	Diversified Banks
Sun Pharmaceuticals Industries Ltd	524715	BSE LTD	Health Care	Pharmaceuticals and Biotechnology	Pharmaceuticals	Pharmaceuticals
Tata Consultancy Services Ltd	532540	BSE LTD	Information Technology	Software and Services	IT Services	IT Consulting and Other Services
Tata Motors Ltd	500570	BSE LTD	Consumer Discretionary	Automobiles and Components	Automobiles	Automobile Manufacturers
Tata Power Co Ltd	500400	BSE LTD	Utilities	Utilities	Electric Utilities	Electric Utilities
Tata Steel Ltd	500470	BSE LTD	Materials	Materials	Metals and Mining	Steel
Tech Mahindra Ltd	532755	BSE LTD	Information Technology	Software and Services	IT Services	IT Consulting and Other Services
Titan Co Ltd	500114	BSE LTD	Consumer Discretionary	Consumer Durables and Apparel	Textiles, Apparel and Luxury Goods	Apparel, Accessories and Luxury Goods
UltraTech Cement Ltd	532538	BSE LTD	Materials	Materials	Construction Materials	Construction Materials
Vedanta Ltd	500295	BSE LTD	Materials	Materials	Metals and Mining	Diversified Metals and Mining
Wipro Ltd	507685	BSE LTD	Information Technology	Software and Services	IT Services	IT Consulting and Other Services
Yes Bank Ltd	532648	BSE LTD	Financials	Banks	Banks	Diversified Banks
ASML Holding NV	ASML	Euronext	Information Technology	Semiconductors & Semiconductor Equipment	Semiconductors & Semiconductor Equipment	Semiconductor Equipment
Danone	BN	Euronext	Financials	Diversified Financials	Capital Markets	Asset Management & Custody Banks
L'Oreal	OR	Euronext	Materials	Materials	Metals & Mining	Gold
LVMH	MC	Euronext	Financials	Diversified Financials	Capital Markets	Investment Banking & Brokerage
UCB	UCB	Euronext	Health Care	Pharmaceuticals and Biotechnology	Pharmaceuticals	Pharmaceuticals
Instone Real Estate Group O.N.	INS	Frankfurt Stock Exchange	Real Estate	Real Estate Management & Development	Real Estate Management & Development	Real Estate Development
Volkswagen	VOW	Frankfurt Stock Exchange	Consumer Discretionary	Automobiles & Components	Automobiles	Automobile Manufacturers
Aluminum Corporation of China Ltd	2600	Hong Kong Exchanges And Clearing Ltd	Materials	Materials	Metals and Mining	Aluminum
Anhui Conch Cement Co Ltd	914	Hong Kong Exchanges And Clearing Ltd	Materials	Materials	Construction Materials	Construction Materials
China Construction Bank Corp	939	Hong Kong Exchanges And Clearing Ltd	Financials	Banks	Banks	Diversified Banks
China Gas Holdings Ltd	384	Hong Kong Exchanges And Clearing Ltd	Utilities	Utilities	Gas Utilities	Gas Utilities
China Mobile Ltd	941	Hong Kong Exchanges And Clearing Ltd	Communication Services	Telecommunication Services	Wireless Telecommunication Services	Wireless Telecommunication Services
China State Construction International Holdings Ltd	3311	Hong Kong Exchanges And Clearing Ltd	Industrials	Capital Goods	Construction and Engineering	Construction and Engineering
CITIC Ltd	267	Hong Kong Exchanges And Clearing Ltd	Industrials	Capital Goods	Industrial Conglomerates	Industrial Conglomerates
Huaneng Power International Inc	902	Hong Kong Exchanges And Clearing Ltd	Utilities	Utilities	Independent Power and Renewable Electricity Producers	Independent Power Producers and Energy Traders
Meituan	3690	Hong Kong Exchanges And Clearing Ltd	Consumer Discretionary	Retailing	Internet & Direct Marketing Retail	Internet & Direct Marketing Retail
Ping An Insurance (Group) Co. of China Ltd	2318	Hong Kong Exchanges And Clearing Ltd	Financials	Insurance	Insurance	Life and Health Insurance
Tencent Holdings Ltd	700	Hong Kong Exchanges And Clearing Ltd	Communication Services	Media & Entertainment	Interactive Media & Services	Interactive Media & Services
HD Korea Shipbuilding & Offshore Engineering Company	9540	Korea Exchange	Industrials	Capital Goods	Machinery	Construction & Farm Machinery & Heavy Trucks
LG Chem Ltd.	51910	Korea Exchange	Materials	Materials	Chemicals	Commodity Chemicals
POSCO Future M Co., Ltd	3670	Korea Exchange	Materials	Materials	Metals & Mining	Steel
Samsung Electronics Co Ltd	5930	Korea Exchange	Information Technology	Technology Hardware & Equipment	Technology Hardware, Storage & Peripherals	Technology Hardware, Storage & Peripherals
AstraZeneca PLC	AZN	London Stock Exchange	Health Care	Pharmaceuticals and Biotechnology	Pharmaceuticals	Pharmaceuticals
Aviva PLC	AV	London Stock Exchange	Financials	Insurance	Insurance	Multi-line Insurance
BHP Group PLC	BHP	London Stock Exchange	Materials	Materials	Metals and Mining	Diversified Metals and Mining
BT Group PLC	BT.A	London Stock Exchange	Communication Services	Telecommunication Services	Diversified Telecommunication Services	Integrated Telecommunication Services
Bunzl PLC	BNZL	London Stock Exchange	Industrials	Capital Goods	Trading Companies and Distributors	Trading Companies and Distributors
Carclo PLC	CAR	London Stock Exchange	Materials	Materials	Chemicals	Specialty Chemicals
Carnival PLC	CCL	London Stock Exchange	Consumer Discretionary	Consumer Services	Hotels, Restaurants and Leisure	Hotels, Resorts and Cruise Lines
City of London Investment Group PLC	CLIG	London Stock Exchange	Financials	Diversified Financials	Capital Markets	Asset Management and Custody Banks
Compass Group PLC	CPG	London Stock Exchange	Consumer Discretionary	Consumer Services	Hotels, Restaurants and Leisure	Restaurants
discoverIE Group PLC	DSCV	London Stock Exchange	Industrials	Capital Goods	Electrical Equipment	Electrical Components and Equipment
Dominos Pizza Inc	DOM	London Stock Exchange	Consumer Discretionary	Consumer Services	Hotels, Restaurants & Leisure	Restaurants
easyJet PLC	EZJ	London Stock Exchange	Industrials	Transportation	Airlines	Airlines
Experian PLC	EXPN	London Stock Exchange	Industrials	Commercial Services and Supplies	Professional Services	Research and Consulting Services
Ferguson PLC	FERG	London Stock Exchange	Industrials	Capital Goods	Trading Companies and Distributors	Trading Companies and Distributors
Glencore PLC	GLEN	London Stock Exchange	Materials	Materials	Metals and Mining	Diversified Metals and Mining
Hostelworld Group PLC	HSW	London Stock Exchange	Consumer Discretionary	Retailing	Internet & Direct Marketing Retail	Internet & Direct Marketing Retail
HSBC Holdings PLC	HSBA	London Stock Exchange	Financials	Banks	Banks	Diversified Banks
InterContinental Hotels Group PLC	IHG	London Stock Exchange	Consumer Discretionary	Consumer Services	Hotels, Restaurants and Leisure	Hotels, Resorts and Cruise Lines
Johnson Matthey PLC	JMAT	London Stock Exchange	Materials	Materials	Chemicals	Specialty Chemicals
Lloyds Banking Group PLC	LLOY	London Stock Exchange	Financials	Banks	Banks	Diversified Banks
Lookers PLC	LOOK	London Stock Exchange	Consumer Discretionary	Retailing	Specialty Retail	Automotive Retail
Mondi PLC	MNDI	London Stock Exchange	Materials	Materials	Paper and Forest Products	Paper Products
NatWest Group PLC	NWG	London Stock Exchange	Financials	Banks	Banks	Diversified Banks
Next PLC	NXT	London Stock Exchange	Consumer Discretionary	Retailing	Multiline Retail	Department Stores
On The Beach Group PLC	OTB	London Stock Exchange	Consumer Discretionary	Consumer Services	Hotels, Restaurants and Leisure	Hotels, Resorts and Cruise Lines
Pearson PLC	PSON	London Stock Exchange	Communication Services	Media & Entertainment	Media	Publishing
Reckitt Benckiser Group PLC	RKT	London Stock Exchange	Consumer Staples	Household and Personal Products	Household Products	Household Products
Rightmove Plc	RMV	London Stock Exchange	Communication Services	Media & Entertainment	Interactive Media & Services	Interactive Media & Services
Rio Tinto PLC	RIO	London Stock Exchange	Materials	Materials	Metals and Mining	Diversified Metals and Mining
Royal Dutch Shell PLC	SHEL	London Stock Exchange	Energy	Energy	Oil, Gas and Consumable Fuels	Integrated Oil and Gas
Sage Group (The) PLC	SGE	London Stock Exchange	Information Technology	Software and Services	Software	Application Software
Sainsbury (J) PLC	SBRY	London Stock Exchange	Consumer Staples	Food and Staples Retailing	Food and Staples Retailing	Food Retail
Schroders PLC	SDR	London Stock Exchange	Financials	Diversified Financials	Capital Markets	Asset Management and Custody Banks
Severn Trent PLC	SVT	London Stock Exchange	Utilities	Utilities	Water Utilities	Water Utilities
Smith & Nephew PLC	SN	London Stock Exchange	Health Care	Health Care Equipment and Services	Health Care Equipment and Supplies	Health Care Equipment
Smiths Group PLC	SMIN	London Stock Exchange	Industrials	Capital Goods	Industrial Conglomerates	Industrial Conglomerates
SSE PLC	SSE	London Stock Exchange	Utilities	Utilities	Electric Utilities	Electric Utilities
Standard Chartered PLC	STAN	London Stock Exchange	Financials	Banks	Banks	Diversified Banks
Tullow Oil PLC	TLW	London Stock Exchange	Energy	Energy	Oil, Gas and Consumable Fuels	Oil and Gas Exploration and Production
Unilever PLC	ULVR	London Stock Exchange	Consumer Staples	Household and Personal Products	Personal Products	Personal Products
United Utilities Group PLC	UU	London Stock Exchange	Utilities	Utilities	Water Utilities	Water Utilities
Vodafone Group PLC	VOD	London Stock Exchange	Communication Services	Telecommunication Services	Wireless Telecommunication Services	Wireless Telecommunication Services
Whitbread PLC	WTB	London Stock Exchange	Consumer Discretionary	Consumer Services	Hotels, Restaurants and Leisure	Hotels, Resorts and Cruise Lines
Wynnstay Group PLC	WYN	London Stock Exchange	Consumer Staples	Food, Beverage and Tobacco	Food Products	Agricultural Products
Alphawave IP Group	AWE	London Stock Exchange	Information Technology	Semiconductors & Semiconductor Equipment	Semiconductors & Semiconductor Equipment	Semiconductors
Rolls-Royce Holdings PLC	RR	London Stock Exchange	Industrials	Capital Goods	Aerospace & Defense	Aerospace & Defense
Acadia Healthcare Co Inc	ACHC	Nasdaq	Health Care	Health Care Equipment and Services	Health Care Providers and Services	Health Care Facilities
Activision Blizzard Inc	ATVI	Nasdaq	Communication Services	Media & Entertainment	Entertainment	Interactive Home Entertainment
Adobe Inc	ADBE	Nasdaq	Information Technology	Software and Services	Software	Application Software
Advanced Micro Devices	AMD	Nasdaq	Information Technology	Semiconductors & Semiconductor Equipment	Semiconductors & Semiconductor Equipment	Semiconductors
Aehr Test Systems	AEHR	Nasdaq	Information Technology	Semiconductors & Semiconductor Equipment	Semiconductors & Semiconductor Equipment	Semiconductor Equipment
Aemetis Inc	AMTX	Nasdaq	Energy	Energy	Oil, Gas and Consumable Fuels	Oil and Gas Refining and Marketing
Alphabet Inc	GOOG	Nasdaq	Communication Services	Media & Entertainment	Interactive Media & Services	Interactive Media & Services
Amazon.com Inc	AMZN	Nasdaq	Consumer Discretionary	Retailing	Internet & Direct Marketing Retail	Internet & Direct Marketing Retail
American Airlines Group Inc	AAL	Nasdaq	Industrials	Transportation	Airlines	Airlines
American Electric Power Co Inc	AEP	Nasdaq	Utilities	Utilities	Electric Utilities	Electric Utilities
Amgen Inc	AMGN	Nasdaq	Health Care	Pharmaceuticals and Biotechnology	Biotechnology	Biotechnology
Apple Inc	AAPL	Nasdaq	Information Technology	Technology Hardware and Equipment	Technology Hardware, Storage and Peripherals	Technology Hardware, Storage and Peripherals
ArcBest Corp	ARCB	Nasdaq	Industrials	Transportation	Road and Rail	Trucking
Baidu Inc	BIDU	Nasdaq	Communication Services	Media & Entertainment	Interactive Media & Services	Interactive Media & Services
Baijiayun Group Ltd	RTC	Nasdaq	Information Technology	Software & Services	Software	Application Software
Bank OZK	OZK	Nasdaq	Financials	Banks	Banks	Regional Banks
